date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:54	220/220	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2002%20Apr%202024%2006:20:42%20GMT	https://www.bratgenerator.com/core/misc/icons/787878/twistie-down.svg	D:/code/CloneWeb/Brat/www.bratgenerator.com/core/misc/icons/787878/twistie-down.svg	(from https://www.bratgenerator.com/sites/g/files/g2000017981/files/css/css_FVNBIJ3mgEdHcUr5z_jzJAq9jAxx4wz9xkynNjlH1So.css?delta=0&language=en&theme=bartik&include=eJxtzVsKAjEMQNENdcyShrQTSjAPaaKSWb1-iYi_hws3KpIUOga1jiv5CkMwoi5_SCkCJ0UbvgjMl6Lw-ammeEfZIkvYZnvq3P2WrHxishu8YfuGJlh-z_3gGP6gVeBGw-Xnan7QC2EXQZg)
16:47:55	217/217	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2002%20Apr%202024%2006:35:31%20GMT	https://www.bratgenerator.com/core/misc/icons/787878/twistie-up.svg	D:/code/CloneWeb/Brat/www.bratgenerator.com/core/misc/icons/787878/twistie-up.svg	(from https://www.bratgenerator.com/sites/g/files/g2000017981/files/css/css_FVNBIJ3mgEdHcUr5z_jzJAq9jAxx4wz9xkynNjlH1So.css?delta=0&language=en&theme=bartik&include=eJxtzVsKAjEMQNENdcyShrQTSjAPaaKSWb1-iYi_hws3KpIUOga1jiv5CkMwoi5_SCkCJ0UbvgjMl6Lw-ammeEfZIkvYZnvq3P2WrHxishu8YfuGJlh-z_3gGP6gVeBGw-Xnan7QC2EXQZg)
16:47:56	106/106	---M--	200	added ('OK')	image/png	date:Tue,%2002%20Apr%202024%2006:35:36%20GMT	https://www.bratgenerator.com/themes/contrib/bartik/icons/menu-expanded.png	D:/code/CloneWeb/Brat/www.bratgenerator.com/themes/contrib/bartik/icons/menu-expanded.png	(from https://www.bratgenerator.com/sites/g/files/g2000017981/files/css/css_iWGIU4aQxbUo2XPGUyU8GSjW9M7DTMEjQf8f6oYs87Y.css?delta=1&language=en&theme=bartik&include=eJxtzVsKAjEMQNENdcyShrQTSjAPaaKSWb1-iYi_hws3KpIUOga1jiv5CkMwoi5_SCkCJ0UbvgjMl6Lw-ammeEfZIkvYZnvq3P2WrHxishu8YfuGJlh-z_3gGP6gVeBGw-Xnan7QC2EXQZg)
16:47:56	513/513	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2002%20Apr%202024%2006:35:36%20GMT	https://www.bratgenerator.com/themes/contrib/bartik/icons/ee0000/required.svg	D:/code/CloneWeb/Brat/www.bratgenerator.com/themes/contrib/bartik/icons/ee0000/required.svg	(from https://www.bratgenerator.com/sites/g/files/g2000017981/files/css/css_iWGIU4aQxbUo2XPGUyU8GSjW9M7DTMEjQf8f6oYs87Y.css?delta=1&language=en&theme=bartik&include=eJxtzVsKAjEMQNENdcyShrQTSjAPaaKSWb1-iYi_hws3KpIUOga1jiv5CkMwoi5_SCkCJ0UbvgjMl6Lw-ammeEfZIkvYZnvq3P2WrHxishu8YfuGJlh-z_3gGP6gVeBGw-Xnan7QC2EXQZg)
16:47:57	679/679	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2002%20Apr%202024%2006:35:51%20GMT	https://www.bratgenerator.com/themes/contrib/bartik/icons/e32700/error.svg	D:/code/CloneWeb/Brat/www.bratgenerator.com/themes/contrib/bartik/icons/e32700/error.svg	(from https://www.bratgenerator.com/sites/g/files/g2000017981/files/css/css_iWGIU4aQxbUo2XPGUyU8GSjW9M7DTMEjQf8f6oYs87Y.css?delta=1&language=en&theme=bartik&include=eJxtzVsKAjEMQNENdcyShrQTSjAPaaKSWb1-iYi_hws3KpIUOga1jiv5CkMwoi5_SCkCJ0UbvgjMl6Lw-ammeEfZIkvYZnvq3P2WrHxishu8YfuGJlh-z_3gGP6gVeBGw-Xnan7QC2EXQZg)
16:47:58	294/294	---M--	200	added ('OK')	image/png	date:Tue,%2002%20Apr%202024%2006:36:13%20GMT	https://www.bratgenerator.com/themes/contrib/bartik/icons/help.png	D:/code/CloneWeb/Brat/www.bratgenerator.com/themes/contrib/bartik/icons/help.png	(from https://www.bratgenerator.com/sites/g/files/g2000017981/files/css/css_iWGIU4aQxbUo2XPGUyU8GSjW9M7DTMEjQf8f6oYs87Y.css?delta=1&language=en&theme=bartik&include=eJxtzVsKAjEMQNENdcyShrQTSjAPaaKSWb1-iYi_hws3KpIUOga1jiv5CkMwoi5_SCkCJ0UbvgjMl6Lw-ammeEfZIkvYZnvq3P2WrHxishu8YfuGJlh-z_3gGP6gVeBGw-Xnan7QC2EXQZg)
16:47:58	462/462	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2002%20Apr%202024%2006:20:12%20GMT	https://www.bratgenerator.com/themes/contrib/bartik/icons/feed.svg	D:/code/CloneWeb/Brat/www.bratgenerator.com/themes/contrib/bartik/icons/feed.svg	(from https://www.bratgenerator.com/sites/g/files/g2000017981/files/css/css_iWGIU4aQxbUo2XPGUyU8GSjW9M7DTMEjQf8f6oYs87Y.css?delta=1&language=en&theme=bartik&include=eJxtzVsKAjEMQNENdcyShrQTSjAPaaKSWb1-iYi_hws3KpIUOga1jiv5CkMwoi5_SCkCJ0UbvgjMl6Lw-ammeEfZIkvYZnvq3P2WrHxishu8YfuGJlh-z_3gGP6gVeBGw-Xnan7QC2EXQZg)
16:47:58	105/105	---M--	200	added ('OK')	image/png	date:Tue,%2002%20Apr%202024%2006:35:36%20GMT	https://www.bratgenerator.com/themes/contrib/bartik/icons/menu-collapsed.png	D:/code/CloneWeb/Brat/www.bratgenerator.com/themes/contrib/bartik/icons/menu-collapsed.png	(from https://www.bratgenerator.com/sites/g/files/g2000017981/files/css/css_iWGIU4aQxbUo2XPGUyU8GSjW9M7DTMEjQf8f6oYs87Y.css?delta=1&language=en&theme=bartik&include=eJxtzVsKAjEMQNENdcyShrQTSjAPaaKSWb1-iYi_hws3KpIUOga1jiv5CkMwoi5_SCkCJ0UbvgjMl6Lw-ammeEfZIkvYZnvq3P2WrHxishu8YfuGJlh-z_3gGP6gVeBGw-Xnan7QC2EXQZg)
16:47:59	107/107	---M--	200	added ('OK')	image/png	date:Tue,%2002%20Apr%202024%2006:35:08%20GMT	https://www.bratgenerator.com/themes/contrib/bartik/icons/menu-collapsed-rtl.png	D:/code/CloneWeb/Brat/www.bratgenerator.com/themes/contrib/bartik/icons/menu-collapsed-rtl.png	(from https://www.bratgenerator.com/sites/g/files/g2000017981/files/css/css_iWGIU4aQxbUo2XPGUyU8GSjW9M7DTMEjQf8f6oYs87Y.css?delta=1&language=en&theme=bartik&include=eJxtzVsKAjEMQNENdcyShrQTSjAPaaKSWb1-iYi_hws3KpIUOga1jiv5CkMwoi5_SCkCJ0UbvgjMl6Lw-ammeEfZIkvYZnvq3P2WrHxishu8YfuGJlh-z_3gGP6gVeBGw-Xnan7QC2EXQZg)
16:47:59	334/334	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2002%20Apr%202024%2006:35:51%20GMT	https://www.bratgenerator.com/themes/contrib/bartik/icons/73b355/check.svg	D:/code/CloneWeb/Brat/www.bratgenerator.com/themes/contrib/bartik/icons/73b355/check.svg	(from https://www.bratgenerator.com/sites/g/files/g2000017981/files/css/css_iWGIU4aQxbUo2XPGUyU8GSjW9M7DTMEjQf8f6oYs87Y.css?delta=1&language=en&theme=bartik&include=eJxtzVsKAjEMQNENdcyShrQTSjAPaaKSWb1-iYi_hws3KpIUOga1jiv5CkMwoi5_SCkCJ0UbvgjMl6Lw-ammeEfZIkvYZnvq3P2WrHxishu8YfuGJlh-z_3gGP6gVeBGw-Xnan7QC2EXQZg)
